2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\QnaFileRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\QnaRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\ReplyLikeCountRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\ReportAnswerRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\ReportRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\SanctionViewRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\SingerFollowRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\TrackImageRepository.class]
2023-12-28T11:23:56.309+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\TrackReplyLikeRepository.class]
2023-12-28T11:23:56.309+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\TrackReplyRepository.class]
2023-12-28T11:23:56.309+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\TrackRepository.class]
2023-12-28T11:23:56.309+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\TrackTagRepository.class]
2023-12-28T11:23:56.339+09:00 DEBUG 12548 --- [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\mappers\AlbumMapperImpl.class]
